date,原油,LPG,沥青,燃油,PP,PE,PTA,甲醇,PX,EG,EB,纯苯
2023-11-27,4189.0,4807.0,3582.0,3073.0,7449.0,7893.0,5676.0,2423.0,8298.0,4059.0,8238.0,
2023-11-28,4187.0,4820.0,3606.0,3080.0,7418.0,7864.0,5634.0,2421.0,8258.0,4067.0,8044.0,
2023-11-29,4241.0,4773.0,3681.0,3137.0,7393.0,7869.0,5606.0,2423.0,8254.0,4091.0,8046.0,
2023-11-30,4320.0,4806.0,3690.0,3229.0,7476.0,7968.0,5752.0,2501.0,8442.0,4141.0,8153.0,
2023-12-01,4176.0,4732.0,3670.0,3139.0,7442.0,7932.0,5662.0,2498.0,8318.0,4109.0,7954.0,
2023-12-04,4055.0,4622.0,3610.0,3068.0,7360.0,7856.0,5644.0,2430.0,8278.0,4064.0,7841.0,
2023-12-05,4069.0,4672.0,3597.0,3099.0,7381.0,7894.0,5660.0,2427.0,8274.0,4027.0,7882.0,
2023-12-06,4062.0,4680.0,3609.0,3063.0,7419.0,7964.0,5698.0,2432.0,8310.0,4093.0,8033.0,
2023-12-07,3924.0,4550.0,3624.0,2928.0,7401.0,7950.0,5660.0,2448.0,8270.0,4078.0,7977.0,
2023-12-08,4021.0,4820.0,3704.0,2957.0,7468.0,8057.0,5718.0,2441.0,8338.0,4094.0,8097.0,
2023-12-11,4076.0,4841.0,3690.0,2972.0,7484.0,8018.0,5744.0,2430.0,8336.0,4109.0,8103.0,
2023-12-12,4065.0,4790.0,3694.0,3013.0,7507.0,8068.0,5764.0,2414.0,8356.0,4150.0,8141.0,
2023-12-13,3820.0,4712.0,3668.0,2899.0,7448.0,8045.0,5590.0,2368.0,8136.0,4099.0,7956.0,
2023-12-14,3882.0,4791.0,3694.0,2939.0,7430.0,8052.0,5560.0,2371.0,8098.0,4120.0,8090.0,
2023-12-15,3987.0,4771.0,3711.0,2987.0,7486.0,8126.0,5678.0,2361.0,8244.0,4156.0,8124.0,
2023-12-18,4047.0,4749.0,3675.0,2996.0,7452.0,8111.0,5728.0,2371.0,8308.0,4194.0,8226.0,
2023-12-19,4074.0,4799.0,3704.0,3017.0,7458.0,8122.0,5730.0,2382.0,8318.0,4348.0,8240.0,
